2024-05-02 21:02:54,983 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Forms, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:55,530 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._Feb20_CyberSecurity.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:56,050 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Jan23rd_Databases.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:56,570 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Jan16th_MachineLearning.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:57,090 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Feb27_Bias_in_MachineLearning.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:57,610 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Feb6_Clustering.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:58,130 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._Mar6_BigData_Economics.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:58,650 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Feb20_CyberSecurity.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:59,178 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Mar6_BigData_Economics.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:02:59,699 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._Jan23rd_Databases.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:00,226 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Jan31st_NaturalLanguage.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:00,747 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._Jan31st_NaturalLanguage.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:01,269 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/Feb13_computer_vision.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:01,790 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._Feb6_Clustering.txt, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:02,310 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/onlineslides, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:02,843 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/RCode_for_Feb6th_Lecture, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:03,364 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/.DS_Store, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:03,962 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~smyth/courses/stats5/._.DS_Store, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:04,513 - Worker-0 - INFO - Downloaded http://cml.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:05,227 - Worker-0 - INFO - Downloaded https://cml.ics.uci.edu/category/news, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:06,253 - Worker-0 - INFO - Downloaded https://cml.ics.uci.edu/2020/01/upgrading-the-uci-ml-repository, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:06,798 - Worker-0 - INFO - Downloaded https://cml.ics.uci.edu/2020/01/winter-2020, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:07,382 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu/ph-d-student-phanwadee-sinthong-and-professor-carey-win-best-student-paper-award, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:07,948 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mjcarey, status <200>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:08,504 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/MJCarey_Publications.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:09,026 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/MJCarey_Honors.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:09,547 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/MJCarey_PhD_Students_Supervised.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
2024-05-02 21:03:10,069 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/MJCarey_Professional_Activities.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
